"ID","diet","sustainability"
1,"meat",18
2,"meat",7
3,"meat",12
4,"meat",14
5,"meat",12
6,"meat",9
7,"meat",19
8,"meat",9
9,"meat",22
10,"meat",10
11,"meat",18
12,"meat",24
13,"meat",2
14,"meat",8
15,"meat",9
16,"meat",14
17,"meat",8
18,"meat",0
19,"meat",0
20,"meat",18
21,"meat",8
22,"meat",0
23,"meat",9
24,"meat",17
25,"meat",21
26,"vegetarian",12
27,"vegetarian",13
28,"vegetarian",4
29,"vegetarian",18
30,"vegetarian",11
31,"vegetarian",18
32,"vegetarian",19
33,"vegetarian",21
34,"vegetarian",11
35,"vegetarian",18
36,"vegetarian",5
37,"vegetarian",10
38,"vegetarian",10
39,"vegetarian",1
40,"vegetarian",15
41,"vegetarian",16
42,"vegetarian",13
43,"vegetarian",20
44,"vegetarian",11
45,"vegetarian",7
46,"vegetarian",18
47,"vegetarian",10
48,"vegetarian",24
49,"vegetarian",12
50,"vegetarian",19
51,"vegan",22
52,"vegan",15
53,"vegan",29
54,"vegan",24
55,"vegan",21
56,"vegan",22
57,"vegan",24
58,"vegan",21
59,"vegan",2
60,"vegan",22
61,"vegan",18
62,"vegan",21
63,"vegan",23
64,"vegan",28
65,"vegan",16
66,"vegan",28
67,"vegan",22
68,"vegan",26
69,"vegan",26
70,"vegan",24
71,"vegan",14
72,"vegan",19
73,"vegan",24
74,"vegan",14
75,"vegan",17
76,"meat",9
77,"meat",11
78,"meat",9
79,"meat",1
80,"meat",0
81,"meat",15
82,"meat",8
83,"meat",7
84,"meat",5
85,"meat",0
86,"meat",10
87,"meat",5
88,"meat",5
89,"meat",12
90,"meat",11
91,"meat",14
92,"meat",3
93,"meat",10
94,"meat",14
95,"meat",0
96,"meat",1
97,"meat",0
98,"meat",0
99,"meat",6
100,"meat",10
101,"vegetarian",23
102,"vegetarian",22
103,"vegetarian",10
104,"vegetarian",27
105,"vegetarian",12
106,"vegetarian",17
107,"vegetarian",13
108,"vegetarian",15
109,"vegetarian",17
110,"vegetarian",17
111,"vegetarian",16
112,"vegetarian",17
113,"vegetarian",13
114,"vegetarian",13
115,"vegetarian",6
116,"vegetarian",14
117,"vegetarian",13
118,"vegetarian",32
119,"vegetarian",8
120,"vegetarian",17
121,"vegetarian",7
122,"vegetarian",7
123,"vegetarian",17
124,"vegetarian",10
125,"vegetarian",16
126,"vegan",23
127,"vegan",22
128,"vegan",14
129,"vegan",19
130,"vegan",27
131,"vegan",29
132,"vegan",23
133,"vegan",26
134,"vegan",33
135,"vegan",35
136,"vegan",19
137,"vegan",25
138,"vegan",33
139,"vegan",23
140,"vegan",26
141,"vegan",25
142,"vegan",21
143,"vegan",23
144,"vegan",26
145,"vegan",24
146,"vegan",33
147,"vegan",23
148,"vegan",23
149,"vegan",30
150,"vegan",20
